Publication Meta Data Fields,,,,,,,,
DARPA Program Name,Program Teams,Authors,Link,Title,Categories,Subcategories,ACM 1998 classification code,AMS 2010 classification code
GRAPHS,"Stanford University, IBM Almaden Research Center","Michael Kapralov, Ian Post, Jan Vondrák",http://dl.acm.org/citation.cfm?id=2627905,Online submodular welfare maximization: greedy is optimal,Algorithms,,,
GRAPHS,University of Notre Dame,"Szabolcs Horvat, Eva Czabarka, Zoltan Toroczkai",http://arxiv.org/abs/1407.0991,Reducing Degeneracy in Maximum Entropy Models of Networks,"Combinatorics, Graph Theory, Probability and Statistics, Model Development, Physical Sciences and Engineering","Modeling methodologies, Mathematics and statistics, Physics","G.2.1, G.2.2, G.3, I.6.5, J.2",
GRAPHS,University of Notre Dame,"Kenneth Knoblauch, Maria Ercsey-Ravasz, Henry Kennedy, Zoltan Toroczkai",http://obelix.phys.nd.edu/~toro/archive/IPSENChapterV2.pdf,The Brain in Space,"Life and Medical Sciences, Graph Theory, Model Development","Modeling methodologies, Network problems, Path and circuit problems","J.3, G.2.2, I.6.5",
GRAPHS,University of Notre Dame,"Nikola T. Markov, Maria Ercsey-Ravasz, David C. Van Essen, Kenneth Knoblauch, Zoltan Toroczkai, Henry Kennedy",http://www.sciencemag.org/content/342/6158/1238406.abstract,Cortical high-density counterstream architectures,"Life and Medical Sciences, Graph Theory, Model Development","Modeling methodologies, Network problems, Path and circuit problems","J.3, G.2.2, I.6.5",
GRAPHS,University of Notre Dame,"Yihui Ren, Maria Ercsey-Ravasz, Pu Wang, Marta C. Gonzalez, Zoltan Toroczkai",http://obelix.phys.nd.edu/~toro/archive/SpatialNetFlows_Combined.pdf,Predicting commuter flows in spatial networks using a radiation model based on temporal ranges,"Graph Theory, Physical Sciences and Engineering, Applications","Graph algorithms, Engineering, Path and circuit problems","G.2.2, G.2.3, J.2",
GRAPHS,University of Notre Dame,"Peter L. Erdos, Zoltan Kiraly, Istvan Miklos",http://www.renyi.hu/~miklosi/EKM-CPC-resubmit2.pdf,On the swap-distances of different realizations of a graphical degree sequence,"Graph Theory, Probability and Statistics","Graph algorithms, Markov processes","G.2.2, G.3","05C07, 05C20, 05C45"
GRAPHS,University of Notre Dame,"Peter L. Erdos, Istvan Miklos, Zoltan Toroczkai",http://arxiv.org/pdf/1307.5295v1.pdf,A decomposition based proof for fast mixing of a Markov chain over balanced realizations of a joint degree matrix,"Graph Theory, Probability and Statistics","Graph algorithms, Markov processes","G.2.2, G.3","05C30, 05C81, 68R10"
GRAPHS,University of Notre Dame,"Peter L. Erdos, Sandor Z. Kiss, Istvan Miklos, Lajos Soukup",http://arxiv.org/pdf/1301.7523v3.pdf,"Constructing, sampling and counting graphical realizations of restricted degree sequences","Graph Theory, Probability and Statistics","Graph algorithms, Markov processes","G.2.2, G.3","05C30, 05C81, 68R10"
GRAPHS,University of Notre Dame,"Istvan Miklos, Peter L. Erdos, Lajos Soukup",http://www.renyi.hu/~miklosi/MES-EJC13.pdf,Towards random uniform sampling of bipartite graphs with given degree sequence,"Graph Theory, Probability and Statistics","Graph algorithms, Markov processes","G.2.2, G.3","05C07, 05C20, 05C45"
GRAPHS,University of Notre Dame,"Shabnam Hossein, Matthew D. Reichl, Kevin E. Bassler",http://dx.doi.org/10.1103/PhysRevE.89.042808,Symmetry in Critical Random Boolean Networks,"Randomness, Geometry and Discrete Structures, Combinatorics, Graph Theory, Probability and Statistics, Simulation Theory, Physical Sciences and Engineering, Life and Medical Sciences","Modeling methodologies, Mathematics and statistics, Physics, Systems Biology","E.1, G.2.1, G.2.2, G.3, I.6.1, J.2, J.3","05C57, 05C80, 82C20, 82C26, 82C31, 91A22, 92D15"
GRAPHS,University of Notre Dame,"Santiago Trevino III, Amy Nyberg, Charo I. Del Genio, Kevin E. Bassler",Not Yet Published,Fast and Accurate Determination of Modularity and its Effect Size,"Randomness, Geometry and Discrete Structures, Nonnumerical Algorithms and Problems, Optimization, Combinatorics, Graph Theory, Probability and Statistics, Mathematical Software, Simulation Theory, Life and Medical Sciences","Mathematics and statistics, Bioinformatics","E.1, F.2.2, G.1.6, G.2.1, G.2.2, G.3, G.4, I.6.1, J.3","05A18, 05C35, 05C80, 05C85, 92A10, 92B15"
GRAPHS,University of Notre Dame,"Wenjia Liu, Florian Greil, Kevin E. Bassler, Beate Schmittmann, Royce K. P. Zia",http://arxiv.org/abs/1408.5421,Modeling interacting dynamic networks: Extraordinary properties in a population of extreme introverts and extroverts,"Graph Theory, Probability and Statistics, Simulation Theory, Physical Sciences and Engineering, Social and Behavioural Sciences","Mathematics and statistics, Physics","E.1, G.2.2, G.3, I.6.1, J.2, J.4","05C57, 05C80, 82B27, 82C20, 82C26, 82C31, 91A22"
GRAPHS,University of Notre Dame,"Kevin E. Bassler, Wenjia Liu, Beate Schmittmann, Royce K. P. Zia",Not Yet Published,Extreme Thouless Effect in a Minimal Model of Dynamic Social Networks,"Graph Theory, Probability and Statistics, Simulation Theory, Physical Sciences and Engineering, Social and Behavioural Sciences","Mathematics and statistics, Physics","E.1, G.2.2, G.3, I.6.1, J.2, J.4","05C57, 05C80, 82B27, 82C20, 82C26, 82C31, 91A22"
GRAPHS,University of Notre Dame,"Ferenc Molnar Jr., Noemi Derzsy, Eva Czabarka, Laszlo A. Szekely, Boleslaw K. Szymanski, Gyorgy Korniss",http://www.nature.com/srep/2014/140909/srep06308/full/srep06308.html,Dominating Scale-Free Networks Using Generalized Probabilistic Methods,"Graph Theory, Physical Sciences and Engineering, Applications","Probabilistic Methods, Physics, Network problems, Graph algorithms","G.2.2, J.2, G.1.10","05C69, 05C82, 91D30, 90C35"
GRAPHS,University of Notre Dame,"Ferenc Molnar Jr., Sameet Sreenivasan, Boleslaw K. Szymanski, Gyorgy Korniss",http://www.nature.com/srep/2013/130426/srep01736/full/srep01736.html,Minimum Dominating Sets in Scale-Free Network Ensembles,"Graph Theory, Simulation Theory, Physical Sciences and Engineering, Applications","Physics, Network problems","G.2.2, J.2, G.1.10, I.6.1","05C69, 05C82, 91D30, 90C35"
GRAPHS,University of Notre Dame,"Pramesh Singh, Sameet Sreenivasan, Boleslaw K. Szymanski, Gyorgy Korniss",http://www.nature.com/srep/2013/130731/srep02330/full/srep02330.html,Threshold-limited spreading in social networks with multiple initiators,"Graph Theory, Social and Behavioural Sciences, Applications","Physics, Network problems","G.2.2, G.1.10, J.4","05C82, 91D30, 90C35"
GRAPHS,University of Notre Dame,"Eva Czabarka, Aaron Dutle, Ferenc Molnar Jr., Laszlo A. Szekely",http://people.math.sc.edu/czabarka/MT_Report-6.pdf,A Local Lemma algorithm for dominating sets,"Graph Theory, Probability and Statistics, Applications","Graph algorithms, Probabilistic algorithms","G.2.2, G.1.10, G.3","05C69, 05D40, 05C82"
GRAPHS,University of Notre Dame,"Eva Czabarka, Aaron Dutle, Peter L. Erdos, Istvan Miklos",http://arxiv.org/abs/1302.3548,On realizations of a joint degree matrix,Graph Theory,Graph algorithms,G.2.2,05C07
GRAPHS,University of Notre Dame,"Linyuan Lu, Austin Mohr, Laszlo A. Szekely",http://www.combinatorialmath.ca/jcmcc/jcmcc86.html,Connected balanced subgraphs in random regular multigraphs under the configuration model,"Graph Theory, Probability and Statistics",Graph algorithms,"G.2.2, G.3","05C30, 05A16, 05D40"
GRAPHS,University of Notre Dame,"Heather Smith, Laszlo A. Szekely, Hua Wang",http://arxiv.org/abs/1408.5865,The eccentricity of trees,Graph Theory,Trees,G.2.2,"05C05, 05C12, 05C35"
GRAPHS,University of Notre Dame,"Laszlo A. Szekely, Hua Wang",http://www.sciencedirect.com/science/article/pii/S0012365X14000041,Extremal values of ratios: distance problems vs. subtree problems in trees II,Graph Theory,Trees,G.2.2,"05C05, 05C35"
GRAPHS,University of Notre Dame,"Linyuan Lu, Laszlo A. Szekely",http://arxiv.org/abs/0905.3983,A new asymptotic enumeration technique: the Lovasz Local Lemma,"Graph Theory, Combinatorics","Counting problems, Graph algorithms, Probabilistic algorithms","G.2.2, G.2.1","05C30, 05A16, 05D40"
GRAPHS,University of Notre Dame,"Laszlo A. Szekely, Hua Wang",http://www.combinatorics.org/ojs/index.php/eljc/article/view/v20i1p67,Extremal values of ratios: distance problems vs. subtree problems in trees,"Graph Theory, Combinatorics",Trees,"G.2.2, G.2.1","05C05, 05C35"
GRAPHS,University of Notre Dame,"Harout Aydinian, Eva Czabarka, Laszlo A. Szekely",http://arxiv.org/abs/1207.2646,"Mixed orthogonal arrays, k-dimensional M-part Sperner multi-families and full multi-transversals","Combinatorics, Probability and Statistics","Experimental design, Contingency table analysis, Permutations and combinations","G.2.1, G.3","05B15, 05D05"
GRAPHS,University of Notre Dame,"Eva Czabarka, Matteo Marsili, Laszlo A. Szekely",http://arxiv.org/abs/1209.5764,Threshold functions for distinct parts: revisiting Erdos--Lehner,"Combinatorics, Probability and Statistics, Graph Theory",Permutations and combinations,"G.2.1, G.2.2, G.3","05A16, 05C82, 05D40"
GRAPHS,University of Notre Dame,"Linyuan Lu, Austin Mohr, Laszlo A. Szekely",http://people.math.sc.edu/lu/papers/kostyabook.pdf,Quest for negative dependency graphs,"Graph Theory, Probability and Statistics, Combinatorics","Hypergraphs, Trees, Counting problems","G.2.2, G.3, G.2.1","60CXX, 05D40"
